
2012-08-15|88.175.247.146
2012-08-15|82.226.244.151
2012-08-16|157.55.112.243
2012-08-16|66.249.66.218
2012-08-16|212.234.83.109
2012-08-16|82.226.244.151
2012-08-16|212.234.83.109
2012-08-16|82.226.244.151
2012-08-16|212.234.83.109
2012-08-16|65.52.111.81
2012-08-17|66.249.66.218
2012-08-17|88.175.247.146
2012-08-17|212.234.83.109
2012-08-17|66.249.66.218
2012-08-17|88.175.247.146
2012-08-18|66.249.72.39
2012-08-18|88.175.247.146
2012-08-18|66.249.72.39
2012-08-19|88.175.247.146
2012-08-19|65.52.104.75
2012-08-19|66.249.66.218
2012-08-19|66.249.71.179
2012-08-20|66.249.66.218
2012-08-20|212.234.83.109
2012-08-20|82.226.244.151
2012-08-21|66.249.66.218
2012-08-21|66.249.71.179
2012-08-21|82.226.244.151
2012-08-21|66.249.66.218
2012-08-22|66.249.71.179
2012-08-22|66.249.66.218
2012-08-23|66.249.71.179
2012-08-23|66.249.66.218
2012-08-23|66.220.152.7
2012-08-23|66.249.66.218
2012-08-24|66.249.66.218
2012-08-24|66.249.71.179
2012-08-24|65.52.104.82
2012-08-25|66.249.66.218
2012-08-25|65.52.108.26
2012-08-25|66.249.66.218
2012-08-25|88.175.247.146
2012-08-25|66.249.66.218
2012-08-26|66.249.71.179
2012-08-26|74.117.177.166
2012-08-26|66.249.66.218
2012-08-26|65.52.104.75
2012-08-26|66.249.66.218
2012-08-27|66.249.66.218
2012-08-27|88.175.247.146
2012-08-28|66.249.66.218
2012-08-28|65.52.109.146
2012-08-28|66.249.66.218
2012-08-29|66.249.71.179
2012-08-29|207.46.199.12
2012-08-29|66.249.66.218
2012-08-30|157.55.17.88
2012-08-30|66.249.72.4
2012-08-31|66.249.66.218
2012-09-01|66.249.71.179
2012-09-01|66.249.66.218
2012-09-02|66.249.66.218
2012-09-04|66.249.66.218
2012-09-04|88.175.247.146
2012-09-04|66.249.66.218
2012-09-05|157.55.33.22
2012-09-05|66.249.66.218
2012-09-05|69.171.247.2
2012-09-05|80.214.4.220
2012-09-05|80.214.4.176
2012-09-05|80.214.4.194
2012-09-05|80.214.4.224
2012-09-05|80.214.4.102
2012-09-05|80.214.4.114
2012-09-06|66.249.66.46
2012-09-06|66.249.71.179
2012-09-06|66.249.66.46
2012-09-06|66.249.71.179
2012-09-06|157.55.35.76
2012-09-06|66.249.71.179
2012-09-07|88.175.247.146
2012-09-07|66.220.152.3
2012-09-07|90.35.57.65
2012-09-07|66.249.66.102
2012-09-07|88.175.247.146
2012-09-07|80.14.40.1
2012-09-07|92.90.20.91
2012-09-07|80.14.40.1
2012-09-07|92.90.20.91
2012-09-07|109.214.44.252
2012-09-07|66.249.66.102
2012-09-08|66.249.66.102
2012-09-08|157.55.32.166
2012-09-08|82.227.40.62
2012-09-08|66.249.71.179
2012-09-08|66.249.66.102
2012-09-08|66.249.71.179
2012-09-08|83.156.188.132
2012-09-08|90.35.57.65
2012-09-08|66.249.66.102
2012-09-09|66.249.66.102
2012-09-09|109.214.44.252
2012-09-09|66.249.66.102
2012-09-09|82.240.75.61
2012-09-09|83.199.220.243
2012-09-10|66.249.66.102
2012-09-10|157.55.32.80
2012-09-11|83.156.188.132
2012-09-11|65.52.111.125
2012-09-11|194.199.7.23
2012-09-11|74.52.245.146
2012-09-12|69.175.50.173
2012-09-12|131.253.46.114
2012-09-12|88.126.44.88
2012-09-12|82.230.10.48
2012-09-12|200.66.91.130
2012-09-12|93.4.81.42
2012-09-12|88.164.41.126
2012-09-12|82.230.18.154
2012-09-12|89.83.236.118
2012-09-12|78.205.68.31
2012-09-12|89.89.173.69
2012-09-12|88.175.245.89
2012-09-12|90.23.224.176
2012-09-12|82.227.2.224
2012-09-12|90.23.42.45
2012-09-12|80.214.4.209
2012-09-12|80.214.4.3
2012-09-12|80.214.4.178
2012-09-12|80.214.4.107
2012-09-12|80.214.4.161
2012-09-12|80.214.4.81
2012-09-12|80.214.4.212
2012-09-12|80.214.4.99
2012-09-12|88.175.245.225
2012-09-12|81.249.201.84
2012-09-13|65.52.108.179
2012-09-13|83.68.214.12
2012-09-13|82.227.23.235
2012-09-13|66.249.66.102
2012-09-13|90.17.222.194
2012-09-13|93.28.145.81
2012-09-13|87.127.78.117
2012-09-13|86.198.107.115
2012-09-13|88.126.44.88
2012-09-13|83.156.188.132
2012-09-13|81.249.179.5
2012-09-13|87.127.78.117
2012-09-13|90.84.144.239
2012-09-13|84.85.61.77
2012-09-13|93.186.23.85
2012-09-13|83.194.209.104
2012-09-13|92.90.20.5
2012-09-13|93.186.23.82
2012-09-13|93.186.23.85
2012-09-13|93.186.23.84
2012-09-13|81.255.178.243
2012-09-13|89.151.116.53
2012-09-13|65.52.0.205
2012-09-13|66.249.66.102
2012-09-13|74.112.131.148
2012-09-13|74.112.131.126
2012-09-13|199.59.149.165
2012-09-13|90.84.144.77
2012-09-13|81.255.178.243
2012-09-13|79.81.5.166
2012-09-13|194.254.35.128
2012-09-13|93.186.23.83
2012-09-13|194.254.35.128
2012-09-13|90.84.144.167
2012-09-13|90.84.144.223
2012-09-13|80.14.243.35
2012-09-13|89.151.99.92
2012-09-13|86.193.116.238
2012-09-13|78.218.17.10
2012-09-13|89.87.63.68
2012-09-13|107.20.111.94
2012-09-13|84.102.110.75
2012-09-13|80.14.40.1
2012-09-13|37.160.62.53
2012-09-13|78.241.14.79
2012-09-13|78.224.116.30
2012-09-13|23.20.167.80
2012-09-13|199.59.149.45
2012-09-13|89.151.116.53
2012-09-13|65.52.0.205
2012-09-13|65.52.0.56
2012-09-13|90.13.172.37
2012-09-13|78.234.204.101
2012-09-13|84.102.57.34
2012-09-13|90.13.172.37
2012-09-13|82.230.10.48
2012-09-13|89.82.81.6
2012-09-13|88.186.164.94
2012-09-13|82.124.190.111
2012-09-13|89.170.2.81
2012-09-13|193.55.99.19
2012-09-13|82.238.152.98
2012-09-13|193.55.99.19
2012-09-13|82.238.152.98
2012-09-13|88.164.225.181
2012-09-13|82.236.223.18
2012-09-13|79.92.8.19
2012-09-13|92.128.78.16
2012-09-13|90.46.24.4
2012-09-13|78.225.35.156
2012-09-14|82.240.54.30
2012-09-14|109.6.104.96
2012-09-14|66.220.152.2
2012-09-14|66.249.66.102
2012-09-14|69.175.50.165
2012-09-14|88.175.247.146
2012-09-14|195.88.85.190
2012-09-14|92.155.228.245
2012-09-14|85.168.248.4
2012-09-14|69.171.241.245
2012-09-14|69.171.241.249
2012-09-14|92.90.16.26
2012-09-14|90.83.145.220
2012-09-14|88.169.101.78
2012-09-14|82.227.210.182
2012-09-14|157.55.32.164
2012-09-14|2.5.225.247
2012-09-14|157.56.95.142
2012-09-14|109.22.16.74
2012-09-14|88.174.239.116
2012-09-14|157.56.95.142
2012-09-14|31.32.114.220
2012-09-14|86.69.126.203
2012-09-15|66.249.72.4
2012-09-15|193.52.200.87
2012-09-15|83.199.130.129
2012-09-15|86.72.190.196
2012-09-15|83.156.188.132
2012-09-15|82.235.77.214
2012-09-15|92.146.217.188
2012-09-16|92.90.16.102
2012-09-16|90.46.98.223
2012-09-16|150.70.75.36
2012-09-16|84.97.246.238
2012-09-17|198.143.128.42
2012-09-17|82.243.201.180
2012-09-17|66.249.72.4
2012-09-17|193.252.242.17
2012-09-17|193.252.242.16
2012-09-17|193.252.242.17
2012-09-17|193.252.242.16
2012-09-17|193.252.242.17
2012-09-17|193.252.242.16
2012-09-17|193.252.242.117
2012-09-17|193.252.242.16
2012-09-17|88.175.247.146
2012-09-17|141.105.66.147
